reward,arrived,dist
160.0,True,0
70.0,False,17
110.0,False,11
217.0,True,0
105.0,False,10
80.0,False,25
120.0,False,5
178.0,True,0
95.0,False,14
125.0,True,0
82.0,False,29
85.0,False,18
85.0,False,12
192.0,True,0
90.0,False,4
125.0,True,0
125.0,True,0
175.0,False,1
105.0,False,27
135.0,True,0
105.0,False,32
120.0,False,6
188.0,True,0
126.0,True,0
125.0,True,0
125.0,True,0
105.0,False,6
130.0,True,0
105.0,False,13
125.0,False,13
125.0,True,0
45.0,False,12
125.0,True,0
40.0,False,24
189.0,True,0
125.0,True,0
125.0,True,0
198.0,True,0
169.0,True,0
105.0,False,6
125.0,True,0
50.0,False,12
125.0,True,0
120.0,False,10
125.0,True,0
75.0,False,32
110.0,True,0
125.0,True,0
202.0,True,0
125.0,True,0
125.0,True,0
90.0,False,8
40.0,False,20
125.0,True,0
65.0,False,30
110.0,False,31
90.0,False,14
125.0,True,0
125.0,True,0
125.0,True,0
80.0,False,13
120.0,False,3
238.0,True,0
90.0,False,10
109.0,False,14
171.0,True,0
247.0,True,0
169.0,True,0
125.0,True,0
125.0,True,0
133.0,False,11
125.0,True,0
129.0,False,3
105.0,False,18
125.0,True,0
186.0,True,0
125.0,True,0
120.0,False,2
125.0,True,0
55.0,False,12
150.0,False,7
82.0,False,11
86.0,False,8
125.0,True,0
125.0,True,0
215.0,True,0
125.0,True,0
323.0,True,0
-5.0,False,24
125.0,True,0
125.0,True,0
91.0,False,22
95.0,False,27
95.0,False,6
95.0,True,0
341.0,True,0
125.0,True,0
95.0,False,3
125.0,True,0
257.0,True,0
173.0,False,8
115.0,False,5
100.0,False,2
140.0,True,0
127.0,False,1
92.0,False,16
179.0,False,5
100.0,True,0
62.0,False,17
115.0,True,0
95.0,True,0
27.0,False,7
125.0,False,5
179.0,True,0
110.0,False,8
125.0,True,0
170.0,True,0
50.0,False,28
65.0,False,6
96.0,False,10
231.0,False,10
163.0,True,0
205.0,True,0
55.0,False,13
89.0,False,12
75.0,False,22
106.0,True,0
95.0,False,9
85.0,False,19
215.0,True,0
198.0,True,0
80.0,True,0
133.0,False,7
125.0,True,0
15.0,False,21
110.0,False,4
80.0,False,9
154.0,True,0
125.0,True,0
120.0,False,3
120.0,False,3
181.0,True,0
133.0,True,0
65.0,False,12
75.0,False,28
115.0,False,2
245.0,True,0
155.0,False,5
280.0,True,0
125.0,True,0
260.0,True,0
161.0,False,2
115.0,False,14
67.0,False,25
95.0,False,14
62.0,False,31
125.0,False,1
115.0,False,13
85.0,False,30
313.0,True,0
121.0,False,12
144.0,False,2
170.0,True,0
105.0,False,6
184.0,True,0
223.0,True,0
120.0,False,3
105.0,False,8
233.0,True,0
215.0,True,0
77.0,False,10
151.0,True,0
107.0,False,17
146.0,True,0
119.0,False,16
125.0,False,2
205.0,True,0
75.0,False,30
148.0,False,16
110.0,False,2
126.0,True,0
118.0,False,7
110.0,False,3
158.0,False,1
170.0,True,0
80.0,False,7
115.0,False,4
115.0,True,0
115.0,False,5
131.0,True,0
97.0,False,18
85.0,False,16
125.0,True,0
107.0,False,11
135.0,False,3
131.0,True,0
151.0,False,3
120.0,False,5
125.0,True,0
100.0,False,14
136.0,True,0
125.0,True,0
90.0,False,16
125.0,True,0
141.0,False,4
139.0,False,2
95.0,False,8
130.0,False,22
100.0,False,13
100.0,False,11
134.0,True,0
115.0,False,5
115.0,False,2
123.0,False,11
146.0,True,0
162.0,True,0
125.0,True,0
142.0,True,0
105.0,False,6
109.0,False,8
146.0,False,6
121.0,False,11
95.0,False,4
93.0,False,17
115.0,False,11
128.0,False,9
125.0,True,0
115.0,False,14
128.0,True,0
106.0,False,18
85.0,False,28
80.0,False,13
85.0,False,27
128.0,True,0
110.0,False,7
95.0,False,3
180.0,True,0
175.0,False,4
77.0,False,7
110.0,False,9
134.0,True,0
91.0,False,12
121.0,False,10
84.0,False,11
97.0,False,14
143.0,False,7
144.0,True,0
125.0,True,0
125.0,True,0
150.0,True,0
128.0,False,3
112.0,False,6
150.0,True,0
249.0,True,0
50.0,False,21
104.0,False,12
161.0,True,0
127.0,False,2
123.0,False,2
105.0,False,7
130.0,True,0
75.0,False,9
195.0,True,0
75.0,False,24
143.0,True,0
90.0,False,10
115.0,False,7
279.0,True,0
18.0,False,26
95.0,False,33
105.0,False,16
110.0,False,13
105.0,False,32
125.0,True,0
38.0,False,8
125.0,True,0
105.0,False,15
122.0,False,10
-5.0,False,5
75.0,False,20
10.0,False,10
100.0,False,24
130.0,False,1
110.0,False,10
115.0,False,3
111.0,False,1
143.0,True,0
160.0,True,0
163.0,False,1
105.0,True,0
126.0,True,0
145.0,False,2
142.0,False,8
100.0,False,9
80.0,False,2
125.0,True,0
330.0,True,0
95.0,False,9
120.0,False,1
110.0,False,6
139.0,True,0
115.0,False,14
135.0,False,12
180.0,False,11
125.0,True,0
120.0,False,2
