reward,arrived,dist
153.0,True,0
82.0,False,6
100.0,False,2
75.0,False,10
111.0,True,0
155.0,True,0
44.0,False,14
150.0,True,0
80.0,False,5
69.0,False,13
155.0,True,0
141.0,True,0
-10.0,False,10
20.0,False,6
85.0,False,5
164.0,True,0
100.0,True,0
95.0,False,4
50.0,False,16
100.0,False,2
110.0,False,19
100.0,True,0
111.0,False,10
105.0,False,17
50.0,False,16
151.0,True,0
20.0,False,15
30.0,False,16
110.0,False,7
81.0,False,2
78.0,False,18
125.0,False,3
45.0,False,13
100.0,True,0
100.0,True,0
25.0,False,14
-41.0,False,11
78.0,False,18
115.0,True,0
60.0,False,4
95.0,False,2
70.0,False,10
156.0,True,0
35.0,False,13
35.0,False,14
135.0,True,0
116.0,True,0
114.0,True,0
100.0,True,0
-38.0,False,8
153.0,False,3
40.0,False,12
117.0,False,1
40.0,False,16
61.0,False,25
90.0,False,16
130.0,True,0
80.0,False,7
60.0,False,15
103.0,False,12
116.0,True,0
143.0,False,4
54.0,False,14
130.0,True,0
100.0,True,0
142.0,True,0
35.0,False,3
116.0,True,0
90.0,False,4
100.0,True,0
124.0,True,0
95.0,False,2
54.0,False,14
85.0,False,8
156.0,True,0
50.0,False,2
68.0,False,13
40.0,False,10
15.0,False,1
130.0,True,0
128.0,False,1
60.0,False,9
87.0,False,25
25.0,False,2
85.0,False,11
88.0,False,20
100.0,True,0
146.0,True,0
65.0,False,3
140.0,True,0
40.0,False,13
40.0,False,5
60.0,False,9
14.0,False,6
120.0,False,2
-30.0,False,6
61.0,False,25
95.0,False,3
35.0,False,11
100.0,True,0
152.0,True,0
-5.0,False,8
100.0,True,0
110.0,False,4
111.0,False,2
57.0,False,25
7.0,False,4
124.0,True,0
85.0,False,3
138.0,True,0
95.0,False,1
95.0,False,3
-25.0,False,2
140.0,True,0
100.0,False,1
10.0,False,13
75.0,False,28
124.0,False,2
90.0,False,4
150.0,False,2
35.0,False,3
160.0,True,0
116.0,True,0
40.0,False,13
80.0,False,28
95.0,False,11
35.0,False,12
-34.0,False,5
74.0,False,21
197.0,True,0
75.0,False,11
118.0,True,0
90.0,False,4
17.0,False,3
70.0,False,10
139.0,True,0
110.0,False,7
70.0,False,8
38.0,False,12
100.0,True,0
54.0,False,5
85.0,False,4
-52.0,False,7
55.0,False,8
0.0,False,1
45.0,False,2
156.0,True,0
40.0,False,23
41.0,False,11
100.0,True,0
0.0,False,2
85.0,False,11
15.0,False,14
107.0,True,0
75.0,False,6
100.0,True,0
75.0,False,9
-40.0,False,14
100.0,False,1
70.0,False,21
100.0,True,0
51.0,False,9
112.0,True,0
70.0,False,11
75.0,False,3
57.0,False,6
-20.0,False,2
50.0,False,15
184.0,True,0
50.0,False,4
124.0,False,2
80.0,False,11
50.0,False,7
100.0,True,0
122.0,True,0
100.0,False,1
85.0,False,3
85.0,False,4
75.0,False,6
-40.0,False,11
100.0,True,0
133.0,True,0
85.0,False,4
5.0,False,4
10.0,False,2
41.0,False,4
153.0,True,0
85.0,False,7
100.0,True,0
85.0,False,5
30.0,False,15
70.0,False,4
157.0,True,0
155.0,True,0
5.0,False,2
131.0,False,3
40.0,False,12
128.0,False,2
148.0,True,0
50.0,False,15
96.0,False,11
0.0,False,15
140.0,True,0
136.0,True,0
-54.0,False,8
122.0,True,0
93.0,False,11
70.0,False,21
20.0,False,13
20.0,False,4
82.0,False,10
-77.0,False,12
114.0,True,0
60.0,False,14
80.0,False,5
20.0,False,12
105.0,False,3
60.0,False,2
116.0,True,0
40.0,False,5
118.0,False,2
116.0,True,0
10.0,False,7
137.0,True,0
103.0,False,2
116.0,True,0
70.0,False,12
0.0,False,1
10.0,False,1
40.0,False,12
95.0,False,11
60.0,False,2
101.0,False,1
40.0,False,9
70.0,False,7
100.0,True,0
-21.0,False,15
150.0,True,0
41.0,False,14
70.0,False,25
30.0,False,19
35.0,False,9
94.0,False,11
85.0,False,11
50.0,False,2
142.0,True,0
50.0,False,9
20.0,False,17
96.0,False,10
15.0,False,6
63.0,False,14
74.0,False,21
136.0,True,0
67.0,False,3
152.0,True,0
-50.0,False,10
75.0,False,3
-20.0,False,4
-10.0,False,9
105.0,False,10
75.0,False,6
-57.0,False,7
70.0,False,8
128.0,True,0
53.0,False,13
80.0,False,17
-20.0,False,9
136.0,True,0
77.0,False,23
100.0,False,1
100.0,True,0
-25.0,False,4
-10.0,False,19
110.0,False,8
6.0,False,16
131.0,True,0
100.0,True,0
133.0,True,0
136.0,False,2
140.0,True,0
100.0,False,1
53.0,False,12
60.0,False,2
128.0,True,0
97.0,False,12
75.0,False,11
100.0,True,0
125.0,False,3
121.0,True,0
95.0,False,1
80.0,False,25
70.0,False,11
100.0,True,0
125.0,True,0
-35.0,False,5
90.0,False,3
47.0,False,9
95.0,False,2
95.0,False,2
50.0,False,25
100.0,True,0
65.0,False,17
158.0,True,0
140.0,True,0
63.0,False,5
100.0,True,0
10.0,False,13
100.0,True,0
40.0,False,3
80.0,False,9
-50.0,False,3
95.0,False,2
144.0,True,0
131.0,True,0
71.0,False,22
90.0,False,11
134.0,True,0
55.0,False,27
55.0,False,1
165.0,False,6
10.0,False,13
90.0,False,3
35.0,False,13
100.0,True,0
131.0,True,0
85.0,False,2
156.0,True,0
0.0,False,11
70.0,False,10
-58.0,False,9
95.0,False,1
75.0,False,20
95.0,False,3
70.0,False,21
94.0,False,11
72.0,False,7
137.0,True,0
85.0,False,7
