reward,arrived,dist
100.0,True,0
95.0,False,5
80.0,False,9
20.0,False,22
80.0,False,30
100.0,True,0
100.0,True,0
15.0,False,9
70.0,False,26
5.0,True,0
75.0,False,7
45.0,False,11
60.0,False,26
55.0,True,0
90.0,False,15
80.0,False,9
85.0,False,2
70.0,True,0
62.0,False,28
62.0,False,10
95.0,False,3
25.0,False,27
80.0,False,23
75.0,True,0
82.0,False,10
60.0,False,24
70.0,False,1
50.0,False,11
125.0,True,0
87.0,False,7
120.0,True,0
55.0,False,23
80.0,False,12
15.0,False,8
105.0,False,9
0.0,False,8
50.0,False,22
75.0,False,11
100.0,True,0
25.0,False,13
70.0,False,24
50.0,False,22
85.0,False,10
60.0,False,27
100.0,True,0
142.0,False,11
10.0,False,8
95.0,False,3
70.0,False,30
75.0,False,7
62.0,False,26
175.0,True,0
50.0,False,13
162.0,True,0
90.0,False,24
107.0,False,6
90.0,False,5
75.0,False,15
230.0,True,0
150.0,False,2
70.0,True,0
76.0,False,10
35.0,False,15
115.0,True,0
100.0,True,0
98.0,False,3
85.0,False,12
100.0,True,0
258.0,True,0
85.0,True,0
70.0,True,0
124.0,True,0
5.0,True,0
100.0,True,0
60.0,True,0
100.0,True,0
90.0,True,0
-15.0,True,0
227.0,True,0
114.0,True,0
45.0,False,16
95.0,False,3
220.0,True,0
9.0,True,0
77.0,True,0
127.0,True,0
58.0,True,0
178.0,True,0
90.0,False,27
130.0,True,0
40.0,False,12
181.0,True,0
160.0,True,0
70.0,False,20
161.0,True,0
10.0,True,0
40.0,False,3
155.0,False,1
84.0,False,14
95.0,False,6
20.0,False,3
130.0,False,1
105.0,True,0
130.0,False,5
95.0,False,2
90.0,False,2
64.0,False,25
85.0,False,28
60.0,False,11
120.0,False,9
70.0,False,4
119.0,True,0
100.0,True,0
83.0,False,15
80.0,True,0
85.0,False,2
63.0,False,17
80.0,False,13
80.0,False,27
111.0,True,0
173.0,False,4
90.0,False,23
107.0,False,11
80.0,False,20
85.0,False,10
184.0,True,0
95.0,False,12
75.0,False,22
143.0,False,1
100.0,True,0
105.0,True,0
35.0,False,8
100.0,True,0
65.0,False,10
60.0,False,1
102.0,True,0
102.0,True,0
90.0,True,0
75.0,False,10
74.0,False,3
120.0,False,5
135.0,False,4
100.0,True,0
95.0,False,6
70.0,False,3
80.0,False,21
117.0,True,0
90.0,False,7
125.0,False,10
95.0,False,5
59.0,False,12
55.0,False,19
89.0,False,12
70.0,False,17
100.0,True,0
70.0,False,24
80.0,False,9
75.0,False,3
70.0,False,18
20.0,False,17
105.0,True,0
33.0,False,20
36.0,False,20
182.0,True,0
50.0,True,0
95.0,False,4
64.0,False,5
134.0,True,0
112.0,True,0
80.0,False,8
58.0,False,24
213.0,True,0
84.0,False,6
100.0,True,0
85.0,False,6
152.0,True,0
97.0,False,8
108.0,True,0
20.0,False,24
105.0,False,3
114.0,True,0
